iter	MultiClass
0	2.396485618
1	2.210424279
2	2.070413896
3	1.955523404
4	1.866109527
5	1.788585734
6	1.718405898
7	1.655028049
8	1.600522422
9	1.550839664
10	1.507259371
11	1.468561154
12	1.437577931
13	1.407366785
14	1.377135967
15	1.351600272
16	1.32953229
17	1.307554803
18	1.288567658
19	1.268145145
20	1.249647158
21	1.233284524
22	1.219149251
23	1.204211386
24	1.18980547
25	1.177618957
26	1.166237738
27	1.157503149
28	1.145905533
29	1.138004978
30	1.126738826
31	1.117824411
32	1.110394006
33	1.102698551
34	1.095340149
35	1.088665262
36	1.081676643
37	1.077355424
38	1.072197395
39	1.064926022
40	1.059406402
41	1.053859963
42	1.048307732
43	1.043020181
44	1.037734612
45	1.03230495
46	1.028438674
47	1.025141868
48	1.01930328
49	1.014978415
50	1.011392027
51	1.005282396
52	1.000893021
53	0.9967822019
54	0.992477892
55	0.9876589905
56	0.9849735052
57	0.9821873938
58	0.9788261764
59	0.9750257911
60	0.9715105701
61	0.9688742685
62	0.9663793577
63	0.9636004346
64	0.9600316675
65	0.9565867664
66	0.9526284025
67	0.9506247878
68	0.9479595471
69	0.9449503615
70	0.9428919084
71	0.9402698328
72	0.9383629943
73	0.9354978853
74	0.9335419641
75	0.9314160862
76	0.9297856238
77	0.9273672709
78	0.9248414333
79	0.9229844259
80	0.92028427
81	0.9174490327
82	0.9152026571
83	0.9130328524
84	0.9110920084
85	0.909086613
86	0.9070201489
87	0.9042186335
88	0.9023200905
89	0.9006997849
90	0.8993427392
91	0.897886629
92	0.8963200442
93	0.894678254
94	0.8933539056
95	0.8919845164
96	0.8900726084
97	0.8873241737
98	0.8851437777
99	0.884077872
100	0.8824336022
101	0.881067473
102	0.8796582798
103	0.8778537366
104	0.8765979359
105	0.8751500559
106	0.8736972575
107	0.8725839363
108	0.8708125567
109	0.8698477411
110	0.8685290559
111	0.8676093553
112	0.8663089124
113	0.8655902617
114	0.8641355822
115	0.8626980346
116	0.8615825527
117	0.8603760084
118	0.859464884
119	0.8582145764
120	0.8568218491
121	0.8556626777
122	0.8549187479
123	0.8536046776
124	0.8520228354
125	0.8512345963
126	0.8505595879
127	0.8497537262
128	0.8480624521
129	0.8470004243
130	0.8457491613
131	0.8441718575
132	0.8431141732
133	0.8413430741
134	0.8403050659
135	0.8393539319
136	0.8385036901
137	0.8378516721
138	0.8369714893
139	0.8362124794
140	0.8349969184
141	0.834030778
142	0.8328471177
143	0.8317847935
144	0.8309544693
145	0.8298045662
146	0.8291801519
147	0.8279378208
148	0.8262713828
149	0.8256059075
150	0.8244658696
151	0.8232477497
152	0.821877208
153	0.8211169375
154	0.8202112777
155	0.8193265045
156	0.8185586744
157	0.8181111382
158	0.8173543905
159	0.8166320081
160	0.8147751187
161	0.8138296792
162	0.8131927739
163	0.8122738827
164	0.811201078
165	0.8105431824
166	0.8097267944
167	0.8093235232
168	0.808379258
169	0.807178834
170	0.8061434518
171	0.8053034549
172	0.8044727207
173	0.8035711864
174	0.8025420275
175	0.8014699921
176	0.8006915601
177	0.8001159056
178	0.7989572199
179	0.7979037968
180	0.7968119464
181	0.7958673538
182	0.7950896241
183	0.7944144277
184	0.7935578459
185	0.7928585207
186	0.7924613062
187	0.7912310116
188	0.7904442036
189	0.7897155484
190	0.7889317452
191	0.7875492756
192	0.7871282166
193	0.7857424588
194	0.7850994041
195	0.7844449967
196	0.783694964
197	0.7822804735
198	0.7814350178
199	0.7806272772
200	0.7796101056
201	0.7787230778
202	0.7779561429
203	0.7771684877
204	0.7765631678
205	0.7757199034
206	0.7749252633
207	0.7743531252
208	0.7738009067
209	0.7729077664
210	0.7721260834
