iter	Passed	Remaining
0	185	185790
1	232	115816
2	280	93270
3	325	81065
4	375	74740
5	422	70062
6	474	67342
7	528	65525
8	570	62859
9	613	60702
10	661	59482
11	706	58208
12	754	57268
13	797	56183
14	840	55217
15	901	55458
16	953	55106
17	1070	58415
18	1131	58411
19	1178	57760
20	1230	57347
21	1273	56621
22	1317	55953
23	1370	55730
24	1431	55814
25	1484	55626
26	1531	55193
27	1576	54712
28	1625	54421
29	1673	54117
30	1717	53675
31	1762	53329
32	1808	52984
33	1852	52644
34	1903	52490
35	1945	52108
36	1987	51738
37	2032	51446
38	2084	51374
39	2134	51217
40	2180	51001
41	2222	50703
42	2265	50431
43	2314	50287
44	2357	50038
45	2410	49990
46	2454	49763
47	2503	49650
48	2547	49449
49	2591	49239
50	2631	48969
51	2674	48759
52	2712	48468
53	2748	48157
54	2786	47880
55	2824	47614
56	2863	47378
57	2903	47159
58	2942	46934
59	2979	46672
60	3016	46432
61	3059	46293
62	3098	46085
63	3134	45839
64	3174	45664
65	3210	45432
66	3249	45245
67	3286	45040
68	3326	44885
69	3364	44703
70	3403	44538
71	3448	44452
72	3489	44312
73	3527	44135
74	3567	43999
75	3607	43854
76	3651	43768
77	3701	43748
78	3744	43658
79	3790	43588
80	3834	43506
81	3880	43446
82	3917	43283
83	3960	43192
84	3998	43040
85	4036	42896
86	4073	42749
87	4110	42601
88	4146	42447
89	4189	42360
90	4227	42232
91	4265	42096
92	4301	41955
93	4340	41836
94	4377	41697
95	4416	41587
96	4461	41535
97	4502	41438
98	4540	41320
99	4578	41210
100	4617	41102
101	4657	41001
102	4699	40931
103	4739	40834
104	4777	40725
105	4813	40600
106	4853	40503
107	4892	40406
108	4931	40307
109	4973	40239
110	5011	40137
111	5047	40019
112	5085	39917
113	5125	39831
114	5165	39751
115	5210	39704
116	5248	39609
117	5288	39527
118	5324	39421
119	5363	39332
120	5401	39241
121	5440	39155
122	5486	39122
123	5548	39196
124	5586	39102
125	5623	39008
126	5661	38914
127	5697	38817
128	5738	38743
129	5776	38657
130	5814	38570
131	5852	38485
132	5891	38406
133	5930	38324
134	5968	38239
135	6009	38180
136	6047	38096
137	6091	38046
138	6128	37959
139	6164	37867
140	6201	37783
141	6244	37728
142	6283	37654
143	6321	37576
144	6357	37486
145	6393	37400
146	6433	37329
147	6472	37259
148	6515	37213
149	6556	37151
150	6593	37070
151	6629	36984
152	6666	36904
153	6703	36824
154	6744	36768
155	6781	36691
156	6820	36619
157	6856	36537
158	6892	36456
159	6931	36390
160	6970	36326
161	7012	36275
162	7049	36198
163	7088	36135
164	7124	36054
165	7160	35973
166	7196	35897
167	7235	35833
168	7276	35781
169	7315	35714
170	7351	35639
171	7388	35565
172	7426	35502
173	7468	35452
174	7512	35417
175	7550	35350
176	7587	35278
177	7623	35204
178	7661	35142
179	7698	35070
180	7735	35000
181	7787	34999
182	7824	34933
183	7860	34859
184	7897	34793
185	7936	34731
186	7973	34667
187	8017	34627
188	8053	34556
189	8090	34493
190	8129	34433
191	8165	34364
192	8204	34304
193	8241	34239
194	8282	34192
195	8319	34126
196	8355	34059
197	8396	34008
198	8436	33958
199	8474	33896
200	8512	33839
201	8555	33797
202	8599	33763
203	8640	33715
204	8678	33655
205	8715	33591
206	8753	33533
207	8794	33487
208	8833	33433
209	8871	33374
210	8907	33306
211	8945	33250
212	8984	33195
213	9025	33148
214	9073	33127
215	9114	33082
216	9155	33036
217	9192	32973
218	9231	32919
219	9270	32868
220	9313	32830
221	9352	32775
222	9391	32723
223	9433	32679
224	9471	32623
225	9507	32561
226	9552	32529
227	9591	32475
228	9628	32415
229	9663	32351
230	9699	32288
231	9736	32230
232	9774	32174
233	9817	32138
234	9864	32111
235	9904	32062
236	9940	32003
237	9976	31942
238	10015	31890
239	10057	31848
240	10093	31788
241	10129	31728
242	10165	31668
243	10202	31611
244	10236	31546
245	10272	31486
246	10311	31436
247	10347	31376
248	10385	31324
249	10424	31274
250	10462	31221
251	10499	31164
252	10535	31106
253	10574	31057
254	10611	31001
255	10648	30946
256	10685	30892
257	10723	30840
258	10759	30783
259	10795	30726
260	10835	30679
261	10872	30626
262	10917	30593
263	10957	30547
264	10995	30496
265	11036	30454
266	11077	30410
267	11114	30357
268	11151	30303
269	11190	30254
270	11237	30229
271	11278	30186
272	11322	30151
273	11368	30121
274	11410	30082
275	11451	30038
276	11489	29989
277	11527	29939
278	11564	29884
279	11604	29840
280	11660	29835
281	11712	29821
282	11754	29781
283	11793	29732
284	11839	29701
285	11877	29652
286	11914	29600
287	11952	29549
288	11992	29505
289	12033	29461
290	12074	29418
291	12116	29377
292	12154	29328
293	12192	29277
294	12232	29233
295	12272	29187
296	12311	29141
297	12352	29099
298	12391	29050
299	12429	29002
300	12466	28950
301	12502	28895
302	12539	28844
303	12576	28792
304	12618	28753
305	12653	28698
306	12691	28648
307	12730	28601
308	12769	28554
309	12811	28516
310	12854	28478
311	12897	28440
312	12932	28385
313	12969	28334
314	13008	28288
315	13047	28241
316	13086	28196
317	13133	28167
318	13169	28113
319	13205	28062
320	13245	28017
321	13281	27964
322	13321	27921
323	13375	27907
324	13436	27906
325	13486	27884
326	13532	27851
327	13581	27825
328	13631	27801
329	13680	27775
330	13733	27758
331	13781	27728
332	13832	27705
333	13888	27692
334	13934	27661
335	13983	27634
336	14030	27603
337	14090	27597
338	14156	27603
339	14211	27586
340	14275	27588
341	14327	27565
342	14391	27566
343	14440	27538
344	14494	27517
345	14547	27498
346	14603	27482
347	14682	27508
348	14727	27471
349	14787	27462
350	14838	27436
351	14885	27402
352	14948	27399
353	15013	27396
354	15092	27420
355	15182	27464
356	15287	27534
357	15398	27613
358	15510	27694
359	15583	27703
360	15655	27710
361	15713	27693
362	15779	27689
363	15876	27739
364	15974	27790
365	16046	27795
366	16108	27783
367	16184	27794
368	16247	27783
369	16323	27793
370	16388	27786
371	16476	27815
372	16607	27917
373	16730	28003
374	16809	28016
375	16868	27994
376	16927	27973
377	16983	27947
378	17033	27910
379	17084	27873
380	17135	27840
381	17202	27830
382	17250	27790
383	17303	27757
384	17360	27731
385	17420	27710
386	17485	27696
387	17538	27664
388	17592	27632
389	17641	27592
390	17685	27545
391	17735	27508
392	17778	27459
393	17822	27412
394	17865	27362
395	17914	27324
396	17972	27298
397	18045	27294
398	18119	27293
399	18173	27259
400	18242	27250
401	18302	27226
402	18372	27216
403	18426	27182
404	18494	27170
405	18568	27167
406	18631	27145
407	18683	27109
408	18728	27063
409	18772	27014
410	18809	26956
411	18848	26899
412	18888	26846
413	18926	26790
414	18969	26740
415	19025	26708
416	19074	26667
417	19113	26613
418	19151	26556
419	19188	26498
420	19226	26441
421	19271	26396
422	19314	26346
423	19352	26290
424	19393	26238
425	19428	26177
426	19466	26121
427	19509	26073
428	19547	26017
429	19585	25962
430	19623	25906
431	19658	25847
432	19694	25789
433	19731	25732
434	19776	25687
435	19817	25634
436	19861	25587
437	19907	25543
438	19946	25489
439	19984	25434
440	20032	25392
441	20070	25337
442	20109	25284
443	20146	25228
444	20196	25188
445	20258	25164
446	20305	25120
447	20344	25067
448	20381	25012
449	20421	24959
450	20460	24906
451	20499	24853
452	20545	24808
453	20582	24753
454	20619	24698
455	20657	24643
456	20695	24590
457	20733	24536
458	20774	24486
459	20810	24430
460	20847	24374
461	20892	24329
462	20939	24285
463	20978	24234
464	21012	24175
465	21054	24127
466	21091	24072
467	21131	24020
468	21168	23966
469	21202	23909
470	21240	23856
471	21289	23815
472	21326	23760
473	21372	23716
474	21411	23665
475	21448	23611
476	21486	23558
477	21529	23510
478	21565	23456
479	21603	23403
480	21639	23349
481	21676	23295
482	21712	23240
483	21750	23188
484	21795	23143
485	21838	23096
486	21874	23042
487	21910	22988
488	21946	22933
489	21982	22880
490	22019	22826
491	22060	22778
492	22097	22725
493	22134	22672
494	22173	22621
495	22210	22569
496	22248	22517
497	22285	22464
498	22332	22422
499	22371	22371
500	22411	22321
501	22448	22269
502	22485	22216
503	22521	22164
504	22563	22117
505	22602	22066
506	22638	22013
507	22674	21960
508	22711	21908
509	22747	21855
510	22783	21803
511	22824	21754
512	22861	21702
513	22929	21680
514	22967	21629
515	23004	21578
516	23040	21525
517	23081	21477
518	23118	21425
519	23156	21375
520	23197	21327
521	23234	21276
522	23271	21224
523	23313	21178
524	23352	21128
525	23392	21080
526	23434	21033
527	23471	20982
528	23508	20930
529	23543	20878
530	23586	20832
531	23624	20782
532	23662	20732
533	23698	20680
534	23735	20629
535	23772	20579
536	23809	20528
537	23849	20480
538	23885	20429
539	23925	20380
540	23961	20329
541	23998	20279
542	24034	20228
543	24073	20178
544	24113	20131
545	24151	20082
546	24189	20032
547	24226	19982
548	24275	19941
549	24320	19898
550	24369	19858
551	24414	19814
552	24457	19769
553	24496	19721
554	24534	19672
555	24572	19622
556	24614	19576
557	24653	19528
558	24690	19478
559	24727	19428
560	24766	19380
561	24804	19331
562	24846	19285
563	24883	19236
564	24921	19187
565	24957	19137
566	24996	19088
567	25035	19041
568	25073	18992
569	25124	18953
570	25161	18904
571	25198	18854
572	25238	18807
573	25275	18758
574	25313	18709
575	25361	18668
576	25401	18622
577	25441	18574
578	25484	18530
579	25523	18482
580	25558	18432
581	25596	18383
582	25637	18337
583	25675	18289
584	25713	18241
585	25751	18193
586	25791	18146
587	25830	18098
588	25870	18052
589	25907	18003
590	25946	17956
591	25983	17907
592	26021	17859
593	26060	17812
594	26097	17764
595	26139	17718
596	26176	17670
597	26212	17620
598	26251	17573
599	26289	17526
600	26326	17478
601	26371	17434
602	26413	17389
603	26449	17340
604	26486	17293
605	26525	17246
606	26562	17197
607	26600	17150
608	26656	17114
609	26695	17067
610	26732	17019
611	26768	16970
612	26805	16922
613	26843	16875
614	26887	16831
615	26924	16784
616	26961	16736
617	26999	16688
618	27041	16644
619	27079	16597
620	27117	16550
621	27162	16507
622	27199	16459
623	27237	16412
624	27275	16365
625	27315	16319
626	27353	16272
627	27402	16231
628	27444	16187
629	27485	16142
630	27523	16095
631	27561	16048
632	27596	16000
633	27634	15952
634	27677	15909
635	27716	15862
636	27754	15816
637	27791	15768
638	27828	15721
639	27866	15674
640	27908	15630
641	27947	15584
642	27985	15537
643	28023	15491
644	28061	15444
645	28097	15397
646	28135	15350
647	28178	15306
648	28215	15260
649	28251	15212
650	28288	15165
651	28328	15120
652	28367	15074
653	28418	15034
654	28462	14991
655	28507	14948
656	28548	14904
657	28586	14858
658	28626	14812
659	28678	14773
660	28717	14727
661	28754	14681
662	28794	14636
663	28833	14590
664	28870	14543
665	28905	14496
666	28946	14451
667	28984	14405
668	29023	14359
669	29060	14313
670	29097	14266
671	29134	14220
672	29169	14173
673	29211	14129
674	29251	14084
675	29290	14038
676	29331	13994
677	29371	13949
678	29409	13903
679	29450	13859
680	29488	13813
681	29524	13766
682	29563	13721
683	29600	13675
684	29637	13628
685	29676	13583
686	29715	13538
687	29751	13492
688	29789	13446
689	29827	13400
690	29876	13360
691	29929	13321
692	29983	13282
693	30023	13238
694	30062	13193
695	30101	13147
696	30138	13101
697	30176	13056
698	30222	13014
699	30262	12969
700	30303	12925
701	30345	12881
702	30385	12837
703	30424	12792
704	30469	12749
705	30510	12705
706	30550	12660
707	30588	12615
708	30626	12570
709	30661	12523
710	30698	12478
711	30740	12434
712	30777	12388
713	30815	12343
714	30851	12297
715	30888	12251
716	30925	12206
717	30991	12171
718	31034	12129
719	31072	12083
720	31109	12038
721	31147	11993
722	31184	11947
723	31225	11903
724	31265	11859
725	31309	11816
726	31354	11774
727	31397	11730
728	31436	11686
729	31480	11643
730	31521	11599
731	31557	11553
732	31596	11509
733	31636	11464
734	31673	11419
735	31712	11375
736	31755	11331
737	31793	11286
738	31830	11241
739	31871	11198
740	31908	11153
741	31996	11125
742	32042	11083
743	32080	11038
744	32118	10993
745	32154	10948
746	32191	10902
747	32228	10857
748	32269	10813
749	32315	10771
750	32352	10726
751	32393	10682
752	32429	10637
753	32465	10592
754	32505	10548
755	32546	10504
756	32582	10459
757	32620	10414
758	32658	10369
759	32703	10327
760	32751	10285
761	32791	10242
762	32835	10199
763	32874	10155
764	32913	10110
765	32950	10065
766	32987	10020
767	33030	9977
768	33066	9932
769	33103	9888
770	33141	9843
771	33178	9798
772	33216	9754
773	33256	9710
774	33301	9668
775	33340	9623
776	33380	9580
777	33417	9535
778	33455	9491
779	33492	9446
780	33541	9405
781	33578	9360
782	33614	9316
783	33653	9271
784	33691	9227
785	33726	9182
786	33763	9137
787	33804	9094
788	33841	9050
789	33879	9005
790	33916	8961
791	33953	8917
792	33989	8872
793	34029	8828
794	34065	8784
795	34102	8739
796	34142	8696
797	34178	8651
798	34214	8607
799	34249	8562
800	34292	8519
801	34330	8475
802	34370	8432
803	34407	8387
804	34445	8344
805	34483	8299
806	34521	8255
807	34563	8213
808	34602	8169
809	34637	8124
810	34674	8080
811	34711	8036
812	34748	7992
813	34790	7949
814	34829	7906
815	34866	7861
816	34903	7817
817	34939	7773
818	34976	7729
819	35013	7685
820	35057	7643
821	35095	7599
822	35134	7556
823	35172	7512
824	35210	7468
825	35248	7425
826	35288	7382
827	35334	7340
828	35370	7296
829	35405	7251
830	35443	7208
831	35481	7164
832	35517	7120
833	35555	7077
834	35603	7035
835	35640	6991
836	35676	6947
837	35713	6904
838	35750	6860
839	35788	6816
840	35830	6774
841	35865	6730
842	35902	6686
843	35938	6642
844	35977	6599
845	36012	6555
846	36049	6511
847	36099	6470
848	36138	6427
849	36178	6384
850	36217	6341
851	36253	6297
852	36295	6254
853	36339	6212
854	36376	6169
855	36418	6126
856	36455	6082
857	36492	6039
858	36531	5996
859	36582	5955
860	36623	5912
861	36660	5869
862	36699	5825
863	36736	5782
864	36773	5739
865	36810	5695
866	36851	5653
867	36890	5610
868	36929	5566
869	36966	5523
870	37005	5480
871	37044	5437
872	37089	5395
873	37139	5354
874	37178	5311
875	37214	5267
876	37252	5224
877	37292	5181
878	37337	5139
879	37376	5096
880	37414	5053
881	37449	5010
882	37486	4967
883	37522	4923
884	37558	4880
885	37606	4838
886	37646	4796
887	37682	4752
888	37720	4709
889	37758	4666
890	37796	4623
891	37837	4581
892	37883	4539
893	37920	4496
894	37956	4452
895	37993	4409
896	38030	4366
897	38073	4324
898	38120	4282
899	38161	4240
900	38199	4197
901	38237	4154
902	38278	4111
903	38317	4069
904	38360	4026
905	38398	3983
906	38439	3941
907	38485	3899
908	38533	3857
909	38574	3815
910	38620	3772
911	38661	3730
912	38700	3687
913	38740	3645
914	38779	3602
915	38816	3559
916	38862	3517
917	38917	3476
918	38956	3433
919	38992	3390
920	39030	3347
921	39066	3304
922	39104	3262
923	39146	3219
924	39186	3177
925	39225	3134
926	39262	3091
927	39303	3049
928	39340	3006
929	39383	2964
930	39422	2921
931	39462	2879
932	39510	2837
933	39553	2794
934	39599	2752
935	39652	2711
936	39689	2668
937	39727	2625
938	39768	2583
939	39807	2540
940	39849	2498
941	39902	2456
942	39956	2415
943	39998	2372
944	40036	2330
945	40074	2287
946	40113	2245
947	40157	2202
948	40197	2160
949	40235	2117
950	40277	2075
951	40331	2033
952	40396	1992
953	40440	1949
954	40485	1907
955	40526	1865
956	40573	1823
957	40627	1781
958	40683	1739
959	40728	1697
960	40779	1654
961	40821	1612
962	40863	1570
963	40912	1527
964	40953	1485
965	40995	1442
966	41038	1400
967	41081	1358
968	41123	1315
969	41169	1273
970	41207	1230
971	41251	1188
972	41293	1145
973	41332	1103
974	41374	1060
975	41416	1018
976	41453	975
977	41491	933
978	41529	890
979	41567	848
980	41608	805
981	41647	763
982	41692	721
983	41737	678
984	41775	636
985	41863	594
986	41911	552
987	41954	509
988	41993	467
989	42029	424
990	42068	382
991	42105	339
992	42142	297
993	42182	254
994	42219	212
995	42257	169
996	42296	127
997	42334	84
998	42375	42
999	42416	0
